name,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,co2_emiss_prev_year,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0.08,2352070,3.14%,18646357,0.13,0.01%,0.125918,,,,,,,,,,,,,,,,,,,,,,,,,,,
State of Palestine,0.3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,0.13,5694208,1.12%,2007873,2.84,0.02%,2.808192,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,0.27,3106518,7.19%,612836,5.07,0.01%,4.705467,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0.89,1682100,6.14%,736708,2.28,0.00%,2.140008,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,0.11,22402414,1.01%,1316510,17.02,0.06%,16.848098,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,0.07,3192307,0.00%,1261865,2.53,0.01%,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,0.3,3901830,4.42%,2358044,1.65,0.01%,1.57707,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,0.05,2338717,7.22%,274191,8.53,0.01%,7.914134,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,0.08,2156371,0.00%,1215180,1.77,0.01%,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,0.34,5009493,3.82%,39649166,0.13,0.01%,0.125034,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,0.04,6563709,4.13%,10872063,0.6,0.02%,0.57522,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,0.19,8896732,1.62%,2080743,4.28,0.02%,4.210664,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,0.12,5212302,1.63%,4980996,1.05,0.01%,1.032885,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,0.25,5325447,1.86%,6303974,0.84,0.01%,0.824376,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0.03,6438429,-3.74%,2159927,2.98,0.02%,3.091452,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0.08,9086988,7.09%,8271762,1.1,0.03%,1.02201,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,0.03,6872427,3.73%,1170187,5.87,0.02%,5.651049,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,0.05,8258774,2.99%,4066009,2.03,0.02%,1.969303,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0.44,5208319,4.45%,2886438,1.8,0.01%,1.7199,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamaica,0.05,8946575,1.82%,2906236,3.08,0.03%,3.023944,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,0.03,2257870,3.48%,436097,5.18,0.01%,4.999736,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,0.31,6853766,0.45%,6356143,1.08,0.02%,1.07514,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dem. Rep. Congo,0.67,6564773,3.77%,78789127,0.08,0.02%,0.076984,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,0.04,8247295,3.69%,14993519,0.55,0.02%,0.529705,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,0.01,25647990,1.62%,27168208,0.94,0.07%,0.924772,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,0.27,10062628,-4.17%,14030331,0.72,0.03%,0.750024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,0.32,7833787,10.10%,27263433,0.29,0.02%,0.26071,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,0.35,13685264,2.66%,2889557,4.74,0.04%,4.613916,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,0.18,6496958,7.68%,15766292,0.41,0.02%,0.378512,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,0.28,9454331,2.21%,23926551,0.4,0.03%,0.39116,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,0.3,4597845,3.06%,2936143,1.57,0.01%,1.521958,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,0.62,4230584,3.67%,16363458,0.26,0.01%,0.250458,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei ,0,7672127,3.54%,419800,18.28,0.02%,17.632888,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,0.29,9320279,2.25%,9270795,1.01,0.03%,0.987275,,,,,,,,,,,,,,,,,,,,,,,,,,,
